Question,Type,Difficulty,True Answer,Number of Options
"A tensile specimen is loaded beyond necking, but not to fracture
and then is unloaded to zero stress. The length of the sample is
measured and a strain is calculated. Which of the following is the best
description of the types of strain contributing to the total measured
strain?
(a) Uniform plastic, localized plastic
(b) Linear elastic, uniform plastic, localized plastic
(c) Linear elastic, uniform plastic
(d) None of these options.",Original,Medium,a,4
"A tensile specimen is loaded until just before fracture and then loading
is stopped without unloading. The length of the sample is measured

and a strain is calculated. Which of the following is the best descrip-
tion of the types of strain contributing to this measured strain?

(a) Linear elastic, uniform plastic, non-uniform plastic
(b) Linear elastic, uniform plastic
(c) Uniform plastic, localized plastic
(d) None of these options.",Original,Medium,a,4
"A very important brass tensile specimen is accidentally dropped caus-
ing plastic deformation within the reduced section. The sample is

carefully straightened back out, a tensile test is performed and sev-
eral material properties are determined. Which of the following ma-
terial properties would you expect to be unaffected by the accidental

dropping?
(a) Young's modulus
(b) Yield strength, Young's modulus
(c) Yield strength
(d) None of these options.",Original,Easy,a,4
"A lattice of cations, each coordinated with four nearest neighbour an-
ions in a tetrahedral arrangement is formed with cations positioned in face-centred-type positions. What crystal structure is best described
here?
(a) ZnS
(b) NaCl
(c) CaF2
(d) None of these options.",Original,Easy,a,4
"Which of the following is the best explanation of the engineering stress?
a) The applied force divided by the initial cross-sectional area
b) The applied force divided by the instantaneous cross-sectional area
c) The applied force divided by the cross-sectional area within the necked
region
d) None of the above",Original,Easy,a,4
"Regarding a standard tensile specimen, which of the following statements is true?
a) The gauge length is normally longer than the reduced section, but the
reduced section is never longer than the gauge length
b) The gauge length is normally less than the reduced section, but the
reduced section is never less than the gauge length
c) The reduced section and the gauge length are normally equal
d) None of the above",Original,Easy,b,4
"Which of the following would be expected to cause a change in the elastic
modulus?
a) An increase in the impurity concentration in a metal
b) An increase in the dislocation density of a metal
c) A reduction in the grain size of a metal
d) An increase in crystallinity of a polymer",Original,Easy,d,4
"Which of the following is closest to the atomic scale?

a) 10^-14 m
b) 10^-6 m
c) 10^-10 m
d) 10^-23 m",Original,Easy,c,4
"How many atoms are present within a single unit cell of the diamond cubic crystal
structure?
a) 4
b) 5
c) 6
d) 8",Original,Easy,d,4
"Which of the following is the most accurate description of the direction that atoms
within the BCC crystal structure touch one another?
a) Along the face diagonals
b) Along the cube diagonals
c) Along the cube edges
d) None of the above",Original,Easy,b,4
"Which of the following best describes the stacking sequence of close-packed
planes within the HCP crystal structure?
a) There are no close-packed planes in HCP
b) ABCABC
c) ABAB
d) None of the above",Original,Easy,c,4
"At higher temperatures stress relaxation would occur more rapidly.

a) False
b) True",Original,Easy,b,2
"A polymer that exhibits a very subtle (small) change in relaxation modulus around
the glass-transition temperature would most likely have which of the following
microstructures?
a) Fully amorphous
b) Cross-linked
c) Highly crystalline
d) None of the above",Original,Easy,c,4
"A reaction with a positive enthalpy change and a positive entropy change will be
spontaneous under which of the following conditions?
a) At low temperature
b) At high temperature
c) At all temperatures
d) Never",Original,Easy,b,4
"Which of the following statements is/are correct?
1. The atomic packing factor of the hexagonal close packed crystal
structure is greater than that of the face centred cubic crystal
structure.
2. The simple cubic interstitial site is larger than the tetrahedral
interstitial site.
3. The hexagonal close packed crystal structure has only two nonparallel close packed planes, while the face centred cubic crystal
structure has four non-parallel close packed planes.
4. The coordination number of atoms within the face centred cubic
crystal structure is 12.
(a) Second and fourth.
(b) First and third.
(c) Second and third.
(d) First and fourth.
(e) None of these options are correct.",Original,Hard,a,5
"Which of the following statements is/are correct?
1. A theoretical system of particles at infinite temperature would
have all particles existing in the highest possible energy states.
2. A grain boundary is a type of two-dimensional crystalline imperfection.
3. Decreasing the grain size of a metal would generally be expected
to result in an increase in the yield strength of that metal.
4. The octahedral interstitial site is smaller than the tetrahedral
interstitial site.
(a) None of these options are correct.
(b) First and second.
(c) Third and fourth.
(d) Second and third.
(e) First and fourth.",Original,Hard,d,5
"Which of the following statements is/are correct?
1. A theoretical (non-degenerate) system at absolute zero of temperature would have all particles existing in the lowest possible
energy states.
2. The vacancy population in a metal will decrease with increasing
temperature.
3. Increasing the dislocation density in a metal through plastic
deformation will increase the yield strength of the metal.
4. A dislocation is a type of zero-dimensional crystalline imperfection.
(a) Second and fourth.
(b) Second and third.
(c) First and fourth.
(d) None of these options are correct.
(e) First and third.",Original,Hard,e,5
"A cylindrical sample of stainless steel having a Young's modulus of
204.3 GPa, a diameter of 12.0 mm, and initial length of 237.8 mm
is loaded to a stress of 411.5 MPa. The sample is then completely
unloaded. What will the elastic recovery of this sample be, in mm?
The yield strength and ultimate tensile strength of this specific alloy
are 292.0 MPa and 688.0 MPa, respectively.
(a) Possible to calculate from information provided, but none of
these options are correct.
(b) 0.96
(c) Not possible to calculate from information provided.
(d) 239.0
(e) 0.24
(f) 0.48",Original,Hard,f,6
"A cylindrical sample of stainless steel having a Young's modulus
of 202.2 GPa, and a diameter of 10.9 mm, is loaded to a stress of
498.6 MPa. The sample is then completely unloaded and is observed
to recover elastically by 0.89 mm. What was the initial length of
this sample, before loading, in mm? The yield strength and ultimate
tensile strength of this specific alloy are 284.0 MPa and 666.0 MPa,
respectively.
(a) Possible to calculate from information provided, but none of
these options are correct.
(b) 180.0
(c) 361.0
(d) Not possible to calculate from information provided.
(e) 722.0
(f) 7219.0",Original,Hard,c,6
"Which of the following statements is/are correct?
1. The tetrahedral interstitial site has a coordination number of 4.
2. The octahedral interstitial site has a coordination number of 8.
3. Cations within the rock salt crystal structure occupy octahedral
interstitial sites.
4. Atoms within the hexagonal close packed crystal structure have
a coordination number of 4.
(a) First and third.
(b) First and fourth.
(c) Second and third.
(d) Second and fourth.
(e) None of these options are correct.",Original,Hard,a,5
"Which of the following statements is/are correct?
1. Increasing the extent of cross-linking within a polymer would
generally be expected to decrease the strength of that polymer.
2. Decreasing the molecular weight of a polymer will generally
result in an increase in the strength of that polymer.
3. Decreasing the crystallinity of a polymer would generally be
expected to increase the density of that polymer.
4. A polymer having a very broad distribution of molecular weights
would be generally expected to have a higher strength than another polymer having a higher number average molecular weight
and a tighter distribution of molecular weights.
(a) Second and third.
(b) Second and fourth.
(c) None of these options are correct.
(d) First and third.
(e) First and second.",Original,Hard,c,5
"A cylindrical sample of stainless steel having a Young's modulus of
204.3 GPa, a diameter of 12.0 mm, and initial length of 237.8 mm
is loaded to a stress of 411.5 MPa. The sample is then completely
unloaded. What will the final length of the sample be, upon unloading, in mm? The yield strength and ultimate tensile strength of this
specific alloy are 292.0 MPa and 688.0 MPa, respectively.
(a) Not possible to calculate from information provided.
(b) 0.48
(c) 0.24
(d) Possible to calculate from information provided, but none of
these options are correct.
(e) 0.96
(f) 239.0",Original,Hard,a,6
"Which of the following statements is/are correct?
1. The large fluorine atoms within PTFE act to protect the covalent backbone of the molecule and make PTFE generally unreactive with other materials.
2. The polar side groups within PVC create stronger intermolecular forces and contribute to the higher service temperature of
PVC.
3. The thermal energy within a polymer near room temperature is
comparable to the intermolecular bonding energy and therefore
the strength of a polymer tends to change significantly with
small chagnes in temperature near room temperature.
4. The glass transition temperature of a polymer corresponds to
the temperature when the thermal energy is sufficient to overcome the intermolecular bonds within the amourphous regions
of a polymer.
(a) Second, third and fourth.
(b) None of these options are correct.
(c) All of these options are correct.
(d) First, third and fourth.
(e) First, second and third.",Original,Hard,c,5
"A cylindrical sample of stainless steel having a Young's modulus of
193.8 GPa, a diameter of 17.4 mm, and an initial length of 147.2is
loaded to a stress between the yield strength and the ultimate tensile strength and then completely unloaded. The change in length
from the loaded length to the final unloaded length is measured to be
0.33 mm. What was the force that this sample was loaded to? The
yield strength and ultimate tensile strength of this specific alloy are
284.0 MPa and 676.0 MPa, respectively.
(a) 413.0 kN
(b) Possible to calculate from information provided, but none of
these options are correct.
(c) Not possible to calculate from information provided.
(d) 103.3 kN
(e) 59.0 kN
(f) 5.2 MN",Original,Hard,d,6
